sentence,label
በጣም ደስ የሚል አንጀት አርስ ፊልም ነው እስቲ ከዚህ ፊልም ተማሩና አሳምራችሁ ስሩ,positive 
እንደ ዛሬ የኢትዮ ፊልም አስደስቶኝ አያውቅም,positive 
ኢትዮጵያ ለዘላለም ትኑር,positive 
እንዲህ አይነት ፊልም አይቼ አላውቅም, neutral 
ብላችሁ ታምኑኛላችሁ የማያስቅ የማስለቅስ ኮስተር ያለ ፊልም wow አቦ ይመቻችሁ ,positive 
አማኑኤል አንደኛዬ እኮ ነህ በምን ቃል ልግለፅህ,positive 
ያምራል በጣም ያላያቹህ እዩት,positive 
በጣም ከፍቶኝ እንቅልፍ እምቢ ባለኝ ሠአት ሥለመጣችሁ ዴሥ ብሎኛል, neutral 
አሪፍ ፊልም ነው እስቲ የተመቸው  ላይክ ይግጨኝ, neutral 
የሶደሬ ማስታወቅያ ናፍቀሽም ነበር ግን እኮ አሁን አረፍ ብትይ መልካም አሸን ኮረና, neutral 
ኤርሜያስ ታደሰ እውነት ትችላለህ አሪፍ እይታ ነው በር ታ ብዙ እጥብቃለን በዚህ አጋጣሚ ማሪያምዬን ስላየሁኝ ደስ አለኝ  ፈጣሪ ለአገሬ ያብቃኝ ደጀዋላይ እድቆም ያብቃኝ  አሪፍ ነው ,positive 
በኢትዮጵያ ፊልም በጣም የበሰለ ደራሲ ተዋናዮች የተጣመረበት ሚገርም ፊልም ይሄ 1ኛ ለኔ የጭንቅላት ብቃታችሁን ሳላደንቅ አላልፍም ለሌሎችም ምሳሌ ነው በሳል ፊልም ጎበዞች በርቱ,positive 
ኤጪ ማሰታወቃያዉ ይደብራል ኮረና ገብቶል እኮ የምትሉት ሁሉ መደረግ አይቺልም ጂሎቺ, neutral 
ያላያቹ እዩት አትቆጩበትም ኤርሚዬ በርታ አማንዬ የሰፈሬ የሩፋኤል ልጅ ትችላለክ ,positive 
ተሰርቆ ካዬነው እኮ ቆዬን አማንን ስለምወደው ብቻ አየዋለሁ ,positive 
አዲስ ፊልም መቷል ኑ እንሹፈው አሪፍ ይመሥላል,neutral 
1ኛ ብየዋለሁ ይሄንን ፊልም እናንተ ኮመንተሮች ግን ማዳምን መቦጨቅ ትታችሁ ስለ ፊልሙ አስታየት አሰጡም,positive 
ዋው   ኤርሚየ  በጣምነውደስየሚለው,positive 
ተለቀቀደ በጉጉትነበር    ስጠብቅየነበርው, neutral 
አማን ሰርተከዋል አይገልፀውም ቁጥር 2 ቢኖረው እንዴት እንደሚያምር ዋውውው በኢትዮጵያ ውስጥ ከተሰሩ ትንሽና ምርጥ ፊልሞች መካከል ውይ በምን ልግለፀው ኡፍፍፍፍ,positive 
ዋውውውው ይምጥብቀወ ፊልም ተለቀቀ ደሰ ይላል ውዳቺዬ የት ናችልኝ እንየወ አብረን, neutral 
ቁጭብለክ ኮምኩም ታድያ ፌልሙን ነው ሌላእዳይመስላችው ጀለስካወች, neutral 
እናመስግናለን አዳዴም ሲጨንቀን እደሀለ ነገር አይቶ ትንሽ ዘና እንበል, neutral 
ዋውውውው እንቅ ፊልም ነው የእውነት,positive 
አማንየ እኔን ግራ ግብት ያርገኝ ውይይይይ, neutral 
አሪፍነውምንምአይል, neutral 
አስተላለቁ ያስጠላል,negative 
ገራሚ ፊልም ነው ዋው,positive 
አድስ ነው ያምራል አብረን እንየው,neutral 
ፊልሙ አሪፍ ነበር አጨራረሱ ግን አልገባኝም ማለቴ ፓርት አለው ማለት ነው,positive 
ሰብሊዬ ነፍሥሽን በገነት ያውለው የኔ ማር አንች ያለሽበት ሁሉ ያምራል,positive
ሸዋፈራሁ  እድሜ  ይስጥህ  ሰብልየ ነብስሺን  ይማረዉ,positive 
ክክክክክክክክክክ ኬዝ ሳይኖራት አይቀርም ክክክክክክክ ሁሌም ምያዝናናኝ ፋልም ነው ምናለበት የአሁኖቹም እንደዝህ ኮሜድ ፍልም ብሰሩ,positive 
ክክክ ተመችቶኛል,positive 
ባየው የማይሰለቸኝ ድራማ ሰብልዬ ነፍስ ይማር,positive 
ያረፈደ አራዳ ያላየሁት እስካሁን የት አርፍጄ ነው ግን,positive 
ሀሀሀ ያኔ ምን አስበህ ነበር ይሄሁሉ ወንጀል ያደረከው  አሁንም ተጠንቀቅ,positive
ጫት እየቃመ ነው እንዴ የጻፈው ደራሲው,negative 
የማየው ባጣ ለ 3ኛ ግዜ አየሁት አይሰለችም ሁሌም አዲስ ነው,positive 
ማህደርየ በጣም ነው  የምወዲሽ,positive 
ነፃነት በሄርክበት ነፃነት አትጣ በሄርክበት በነፃ ተጠቀም ነፃ ውጣ,positive 
ወይ ነፂ ያንተን ፊልም ባየው ባየው የማልሰለቸው ፊልም ቢኖር ያንተ ብቻ ነው ገነት የምትገቡ ሁለት ሆናችሁ ትጋፋላችሁ ገራሚ ልጅ ነህ,positive 
ይሄ ሰዉየ ግን አንዳድ ፊልሞች ላይ ሲሰራ ጥርስ አለው እዚህ ደሞ የለውም,neutral 
ምንቹ ኩተት ናቸው,negative 
አይ መሀደር አሠፋ  እንዳዉ ሸይኪ  ምርጥ የጥበብሠዉ  አሣጣን,neutral 
አቡሽ እግዚሀብሄር አምላክ ያሳድግክ በእውነት ከዚበላይ እንደምትሠራ ተስፋ አለኝ በጣም ጎበዝ በርታ ጥሩ አርቲስት ነው የምትሆነው አድናቂክ ነኝ ዋው አብሽዬ እድግ በል,positive 
አስፈላጊ ቦታ ላይ ድምፅ አይሰማም በተረፈ በጣም ሀሪፍ ነው,positive 
የሚገርም ፊልም ነው የሚያስተምርና የሚያዝናና ነው እናመሰግናለን,neutral 
የኢትዮጵያ ፊልሙ  እያስጠላ እያስጠላመጣ  ወይ  ጊዜ,negative 
የኢትዮጵያ ፊልም ኢንደስትሪ ልክ እንደ ኢትዮጵያ እግር ኳስ ፊዴሪሽን ወደ ሃላ ነው የሚሄደው,negative 
እረ ወገን የሲኒማውን ኢንዱስትሪ እስከመቼ ነው እንደ ግመል ሽንት ወደሁዋላ የምንጎትተው? እዚህ ፊልም ላይ የተሳተፉ ደራሲ ዳይሬክተር ፕሮዳክሽን በጠቅላላ ለህዝቡ ያላችሁን ንቀት በዚህ ስራ እስከ ጥግ ስላሳያችሁን እናመሰግናለን,negative 
ሰዉ  የወደደዉን የሚያገኝዉ ፊልም ላይ ብቻ ነዉ ሲገርም,neutral 
ኤጭጭጭ ኧረ ተውን ተውን በአደባባይ ስለ ሴክስ ስታወሩ ሼም አይሆንባችሁም ደግሞም ህፃናት ቢያዩትስ በአዕምሯቸው ላይ ምን የሚቀረፅ ይመስላችኋል,negative 
 በእውነት በጣም ወረዳችሁ ተንሸራተታችሁ ዘቀጣችሁ   ኤጭ ,negative 
አረ በፈጣሪ ምን አይነት ነዉ ይደብራል,negative 
ምኑንም አልወደድሁት,negative 
ሶደሬዎች እደክፉ ባል አጨቅጭቁን የመዳም ዋይፋይ አለ ለምን ብዬ ልክፈል ለናቴ ብልክላት ስትመርቀኝ ምርቃቷ ይጠብቀኛል ደሞ ለሞላ ፊልም ልከፋል,neutral 
ያገሬ  ልጆች   አዲስ   ፊልም  ተለቆአል ኑ  ደግሞ  በቅንነት  ሰብስክራይብ    አዲርጉኝ,neutral 
እንደማስታወቂያው አደለም አይመስጥም,negative 
እዚህ ፊልም ላይ ያሉትን  በጣም ነው የምወዳቸው  ግን ማራናዊት ውስጤ ነች  ስወዳት,positive 
አሪፍ ትምህርት ሰጪ ፊልም ነው ከዚህ ሁሉ ነገር ግን ፈጣሪ ይጠብቀን,positive 
ይሔ ማንዴላ ሊፈነዳ የደረሰ ኳስ መሰለ የኢትዮጵያን ችግር በአጠገቡ የደረሰ አይመስልም  ግን ይህ ፊልም ነው ወይስ ጥቆማ ለማያቁ. ማስታወቂያ እየሰራችሁ ይመስላል በጣም ያሳዝናል እንዴት ትውልድ ይታነጽ,negative
እንደው ሴት አርቲስቶች ግን ይሄን የፈረስ ጭራ እንደልብስ ሆነኮ የሚለብሱት ጉድ ቲንሽ አይሸምማቸውም, neutral 
ቦሌ   እኮ   ሁለተኛው   የመቃብር   ስፍራነው   ደግሞ  ሲያስጠላ  ዝሙተኞች,negative 
ግን የቀበሌ ድራማ ይመስላል,negative 
ላቅመ ፊልሙ ማዬት አልደረስኩም  እንዴ   በቤርጎቤት ሊጨርሱት ነው ተው ልደግበት,neutral 
ኢትዮጵያውያን ጋር  ምኑም እማይሄድ  ፊልም  ነው  በጣም   ከሚባለው   በላይ  ያስጠላል,negative
በጣም ከሚያስጠላ ፍልም ነው ኢዮ አይደብራቹም ዘጊዎች ,negative 
ዞላ እባብ ይዘልዝልሽ ወይ ማንዴ,negative 
ኸረ ማንዴ ጂም የሚባል ነገር አለ ምንድነዉ እንዲ መከመር ራስክን ጠብቅ ስክሪፕት ምረጥ,negative 
ማንዴላ ግን ምን ነካህ?  ድሬድ ላክስ ክብር ያለው የተፈጥሮ ጸጉር ነው ። ክብሩ ከባህታውያን ይጀምራ,negative 
 የሌባ ፡የበጬ፡የዱርዬ ፡መገለጫ ማረጋቹ ሳያንስ ደግሞ የወንድ ሸሌ መገለጫ ለማድረግ ነው? በጣም ይደብራል,negative 
በጣም ይደብራል,negative 
እረ ማንዳላ የሌለበት ፊልም የቱ ነው እጭ አሁንስ በዛ ፊልም አይመራጥም እንዴ🙄,negative 
ወይ ማንዴላ ማትገባበት የለ, neutral 
ብልግና ማሳየቱ ለወጣቱ ጥሩ አደለም,negative 
በቃ አሪፍ ፍልም ነው ,positive 
የሚያስጠላ የወረደ ታሪክ,negative 
ትንሽ ከኛ ባህል ወጣ ያለ ነው,negative 
የጌታ መሳይ የመጨረሻዋ ፍቅረኛ ውብ ናት ,neutral 
አጨራረሱ የመጨረሻ ይደላል,positive 
ባለጌ የሆነ ፊልም ወይኔ የተሰጣቹን ሸምድዶ መዘባረቅ አይሰለችም እያደር እንጭጭ ሀሳብ ታመጣላቹ ኤጭ,negative 
የሚገርም ፊልም ነው በብዛት የሴቶችን ሀጥያት ብቻ በሚወራበት ሀገራችን ይህም እንዳሉ ግንዛቤ እንዲኖራቸው ያደርጋል እውነታ ሁሌም እውነት ነው ባለው መፍትሄ እንጂ መወቃቀስ ትርጉም የለውም,positive 
የዚህ ልጅ ቦርጭ አንገቱ ጋር ደረስ ምነው ተስተካከል የሚል ዘመድ ጏደኛ ጠፋ ?እረ እስፖርት ስራ ማንዴላ,negative 
የሆድህ የአንገትህ መጥቆር እረ ውይይ ,neutral  
ለፊልሙ እንደምትሯሯጥ ምናለ እራስህን ለመጠበቅ ብትሮጥ,neutral 
በጣም አአሪፍ ነዉ ማንዴ ,positive 
አሪፍና አስተማሪ ፊልም ነው,positive 
ፊልሙ ሀሪፍ ነበር የማስታወቂያው ብዛትና ድንገት የሚጮኸው ድምፅ ግን ይረብሻል ደሞ ዛሬ ብቻ አደለም ሁሌም ነው,positive 
ማንዴላ አድናቂህ ነኝ አንተ ያለህበት ደስ ይለኛል,positive
ባልወድሽ ኮካ ኮላ እገዛልሽ ነበር ወይ ማንዴላ, neutral 
አራዳ ፊልም ለምንድን ነው መሀል መሀል ላይ ድምፅ ቀጥ የሚልባቹ,neutral 
ለምንድን ነው አንድን ሴት አፈቅርሻለሁ እያላችሁ ሌላ የምታፈቅሩት ያቺ ከልቧ እየወደደችው የዋሻት ሌላ ወንድ ለማፍቀር ልቧ ተሰበረ ዳግም ሌላ ማቀር እንኳ አትችልም ልቧ ተሰበረ ለምን ወንዶች,neutral 
18 አመት በታች። ማየት አይቻልም ብላችሁ ግን 18 በታች ታሰራላችሁ,negative 
ሴቶችዬ ጠንካራ ሁኑ ሽንኩርት እንጂ ወንድ ልጅ እንዳያስለቅሳቹ,neutral 
ለዚች ልጅ ጡት ማስያዣ ሚገዛላት ይጥፋ,neutral 
ትንሽዬው ልጅ ስወደው የዱር እንስሳ ጥቀስ ሴት አንበሳ  ያረጀ አንበሳ ሚጢጢዬ አንበሳ,positive 
የሚያስጠላ የወረደ ታሪክ የማይረባ መልክት ቋንቋው ባለጌ የሆነ ፊልም ወይኔ የተሰጣቹን ሸምድዶ መዘባረቅ አይሰለችም እያደር እንጭጭ ሀሳብ ታመጣላቹ ኤጭ,negative 
የሚያስጠላ የወረደ ታሪክ ኤጭ,negative 
ኤጭ,negative 
በጣም ቆንጆ አስተማሪ ፊሊም ነው,positive
እኛ የፍለግ ነው ፊልሙን ነው እንጂ ዘፍኑን አይደለም ከብት ድንጋይ አህያ ነህ እሺ,negative
በሳቅ ልሞት ነው,positive 
ሙዝዝዝዝዝዝዝዝ ነው ያልሽብኝ,negative 
ክክክክ እምባየ ጠብ እስኪል ነው የሳኩት ይመቻችሁ,positive 
ጌታችን ሆይ ሀግርችን ሰላም ፍቅር መተሳሰብ እንዴት በሀይማኖት  ብሔር የማንገጨ አድርገት,neutral 
ይሄ ፊልም ግን አድስ ነው እነኝ ሠሶች ጠፍተው ከርመው ነበር,neutral 
ዶማ ብሎ ሰላም የኛ አገር ፖለቲካ ዶማዎች እየመሩት ነው ቆፍረው የጨረሱን ,neutral 
ይሄ ሰውዬ ደሞ ሰው አግቶ አለማጠን አያቅም እንዴ,negative 
ዛሬ ነው ኮሜዲ ፊልም ያየሁት ከረጅም ግዜ በኃላ  ውይይይይ እንዴት እንዳሳቃችሁኝ ስወዳችሁ,positive 
እኔ ምለው ግን ኢሄ ሰውዬ በቃ በርበሬ በማጠን  ነው እንዴ ማስተሩን የሰራው,negative 
በፍቅር የሚቀልዱትን ወንዶች እንዲህ ነበር ማጠን,neutral 
ምንም አይጥምም,negative 
የህሰው ግን ወድነቱን የሚያሣየው በርበሬ በማጠነው እደ እረ,negative 
ግን ኮሜቶች ሁላችሁም የሠብስክራይብ ላማኝ ሆናችሁ ውይይይ አሁን አበዛችሁት ,neutral 
ሁሌ በሌለ በርበሬ ከየት አባቱ አምቶ ነው  ሚያጥናቸው የሆክ አዝ ነገር ,negative 
እናተ ከመቼው ቀደማችሁኝ ስራ አትስሩም ሽቃሊት ነው የኔ ቢጥዬዎች ማዳሜ ልቤ ላይ ቆማለች ስጨርስ አየዋለው,neutral 
ምርጥ ፌልም ከምርጥ ተዋንያን ጋር,positive 
ወዮው ሆዴ በሳቅ ፈነዳ,positive 
በነገራችን ላይ አቶ ተፈሪ ተብለው የሚሰሩት ሰውየ ያስፈሩኛል በፊልሙ ሳየው በአካል ግን አላቅም በቃለ መጠየቅም ቀርበው አይቻቸው አላቅም,neutral 
ምንም አይጥምም ሙዝዝ አላቹሁበት ምነው በሰላም ነው ሜሊ ብዙም አይመስጥም ትወናሽ ካራክተሯን አላወቅሻትም ወይም ውስጥሽ አልገባችም ለማንኛውም ሙዝዝዝዝዝዝዝዝ ነው ያልሽብኝ,negative 
ምንም አይጥምም,negative
በስማም ሰውዬው ምናለበት አገራችንን  የሚበጠብጡትን ባጠነልኝ,neutral 
በሰኞው ቀን ቁጭ ዩቱብ ላይ እረ ስራ ስሩ ተው ግን,neutral 
ዋው ገራሚ የሚያስደምም ፊልም ነው የሚያዝናና ጥሩ ቁምነገር ያዘለ ነው,positive 
ያላያቹ እዩት በጣም ደስ የሚል ነው,positive 
ኢትዮጵያዬ ሰላምሽ ይብዛልን,neutral 
ኣንቺ በናትሽ ማስተዋወቂያሽ ሰለቸኝ,neutral 
በመድዬ እናት በእመብርሀን ሲል እንዴት አንጀት ይበላል፥  እመብርሀን ከክፉ ትጠብቃችሁ,positive 
በተለይ አስረግዘው የሚከዱትና አብይን የመሳደቡትን እንደዚ ነበረ ማጠን,positive 
ዋዉ በጣም ደስ የሚል ነበር እናመሰግናለን ,positive 
ምንምአይል ግንአይመስጥም,neutral 
ያምራል,positive 
አቦ ስሜታቹ ይቋረጥ አይመስጥም,negative 
እህት ወንድሞቼ የዩኒቨርስቲ ነገር አለተሳካምልኝም የቱብ ቻናሌን ሰብስክራይብ አድርጉኝ እና ስራ ለጀምርበት አህት ወንድሞች ተባበሩኝ,neutral 
በጥፊ ሲላት በስመአብ እዴት እደደነገጥሁ የኔን ፊት መሰለኝ ቴዲ ደግሞ አይኑን ተኩሎት ነው,neutral 
አረረረ  ሀሀሀሀሀ  የፊልም ያለ  ልቀቁልን,neutral 
ሀገሬ ልገባ ቀን እየቆጠርኩ ነው የሆነ ነገር በሉኝ,neutral 
ስሜታቹ ይቋረጥ,neutral 
ምን አይነት ፊልም ነው ጀመራችሁት ወዳው ጨረሳችሁት አንዱንም ሳንረዳ,negative 
ፍትህ ለኢትዮጵያ ፊልም,negative 
ቸሩ መድኃኔዓለም ሃገራችን ሰላም ያድርግልን,neutral 
እጅግ አሸቃባጮች ናችሁ ሆዳሞች,negative 
እማየ ትሙት አናዳችሁኛ,negative 
ክክክክክክ ዋው ነው በጣም ድስ ይላል ብተለይ ለልክስክስ ውዶች,positive 
ፍልሙ ኣሁን ልየዉ ነዉ ግን ፍቅር በፍልም ብቻ ሳይሆን በግሃድም ኣለ የምትወዱት ሰዉ ሳትጠራጠሩ, neutral 
ከልባቹ ኣፍቅሩ እግዚአብሄር ያግዛችዋል እኔ በፍቅር ኣምናለዉ,neutral 
ማንም ለፍቅር ብሎ እንዲ አያደሪግም። እኛ እናተን እያየን ገደል ግባን,negative
ላይክ አምሮኝ ሊደፋኝ ነው,neutral 
አንዱ ቤብዬ ስወድክ የምትሰራቸው ካራክተሮች በሚገባ ነው የምትወጣው በርቱ,positive 
በቃ ፍቅር በፊልም ብቻ ሁኖ ቀር,neutral 
ዋውውውው ብያለው ሲያምር ግን ፍቅር በፊልም ብቻ መሆን ያስጠላል በተግባር የለም,positive 
በጣም ያምራል መልካም ስራ ይጠቅማል ግን እውነት እደዚህ አለ ለፊልም ብቻ ባይሆን ጥሩ ነበር,positive 
ደሥ  ይላል  ክክክ  አይ  ኮኔረል,positive 
ምን ይሉታል በውለታ የሰውን ሚስት መውሰድ,neutral 
ከሴሰኛ ወንድ ይጠብቀን በሚስቱላይ ከሚሄድ ውሸታም ወንድ ይሰውራቹ,neutral 
ኸረረረረ እኔ የውነት መኖር አሰልችቶኛል ትንሽ የምፅናናው ፊልም ሳይ ብቻ ነው። ፊልሙ ካለቀ በኋላ ድጋሚ ይቺ አለም አናቴ ላይ ተቀምጣ ፊልሟን ትሰራብኛለች,neutral 
እልልልልልልልል የዛሬ ሳምንት ሀገሬ ልገባ ነው ተመስገንንንንንንን,neutral 
ሴትን ልጅ ለቀልድ እንኳ ቢሆን የሚሳደብ ወንድ ደስ አይለኝም ወንዶች ተጠንቀቁ እሽ ለሚሰድበን ሰው ክብር የለንም,neutral 
ከሞት እና ከአሜሪካ የሚቀር የለም አይዞቹህ ከአረብ ሀገር ወደ አሜሪካ,neutral 
ያገሬ ልጆች እንዴት ናችሁልኝ እንኳን አደረሳችሁ ለእናታችን ኪዳነ ምህረት ባላችሁበት ሰላምና ደስታችሁን ታብዛው ውድድድድ ሁላችሁንም,neutral 
ጉንፋን ሊገድለኝ ነው። ጒበዝ እስኪ። እንረዳዳመረዳዳት ባህላችን ነው,neutral 
ዋው ዛሬ ፀዳብን ስጠብቀው የነበረው ምርጥ ፊልም ,positive 
በጣም ነው የሚያስጠላው ይሄን ዝርክርክ ኑሯችሁን እዛው ኤጭ,negative 
ብሌን ማሞ ሳቅሽ ሳቄ ነው ስወድሽ,positive 
በያላችሁበት ሠላማችሁ ይብዛልኝ,neutral 
ዘ መጨነቅ ሀገራችንን ሰላም ያድርግልን,neutral 
እኳን ደና መጣችሁ ጋይስ እስኪ ድብር ብሎኛል ላይክ ግጩኝ ያው የመውለጃየ ስአት ድርሷል እ,neutral 
ጨለማ በዛበት ሲያወሩ ያለው ክላሲካል ይረብሻል,negative 
ለነገ  ይቀመጥ   አሁን  ጢኒብራየ  ዙሯል,neutral
ምድረ ከረፈፍ ደራሲ ወንድና ሴት ካልማገጡ ፊልም አትሰሩም በቃ,neutral 
ኤጭ የወድ ቻቢስቲክ ሲያስጠላ,negative 
ወይ እኔ ሰውየው ቦርጩ ነው,neutral 
ኮተታም ፊልም ነው እያቅለሸለሸኝ ነው አይቼ የጨረስኩት እሱም ሌላ አማራጭ ስለሌለ ሰሞኑን የሚለቀቁት ፊልሞች በጣም የወረዱ ናቸው,negative .
አሁንስ የሰለቸኝ ስለ መዳም እና ላይክ ግጩኝ የሚል ኮሜንት ማበብ ነዉ ይሄኮ ስለ ፊልሙ አስተያየታችን ልንሰጥበት እንጅ የባጥ የቆጡን ልንበጠርቅበት አይደለም አቦ ሁልሽንም ልጭሽ ነጫጭባ ሁላ,neutral 
